image_id,n_objects_otsu,mean_area,otsu_threshold
test_000,8,194.75,0.11374080882352941
test_001,14,202.07142857142858,0.13304227941176472
test_002,24,241.20833333333334,0.12890625
test_003,19,203.1578947368421,0.14131433823529413
test_004,41,344.0,0.13717830882352944
test_005,14,463.07142857142856,0.13717830882352944
test_006,8,196.625,0.15647977941176472
test_007,23,207.04347826086956,0.13304227941176472
test_008,22,250.13636363636363,0.13717830882352944
test_009,21,180.0,0.13304227941176472
test_010,33,395.1212121212121,0.14545036764705882
test_011,17,215.64705882352942,0.14131433823529413
